Calculation1,School,City,County/State/ Territory,Count,All,Female,Male
ARMIJO HIGH SCHOOL50910,ARMIJO HIGH SCHOOL,Fairfield,Solano,App,28,15,13
ARMIJO HIGH SCHOOL50910,ARMIJO HIGH SCHOOL,Fairfield,Solano,Adm,7,4,3
ARNOLD O BECKMAN HIGH SCHOOL51267,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,App,293,144,149
ARNOLD O BECKMAN HIGH SCHOOL51267,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,Adm,73,41,32
ARNOLD O BECKMAN HIGH SCHOOL51267,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,Enr,22,12,10
ARROYO GRANDE HIGH SCHOOL50150,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,App,47,26,21
ARROYO GRANDE HIGH SCHOOL50150,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,Adm,19,12,7
ARROYO HIGH SCHOOL50830,ARROYO HIGH SCHOOL,El Monte,Los Angeles,App,84,46,38
ARROYO HIGH SCHOOL50830,ARROYO HIGH SCHOOL,El Monte,Los Angeles,Adm,21,10,11
ARROYO HIGH SCHOOL50830,ARROYO HIGH SCHOOL,El Monte,Los Angeles,Enr,14,5,9
ARROYO HIGH SCHOOL53125,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,App,66,41,25
ARROYO HIGH SCHOOL53125,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,Adm,24,16,8
ARROYO HIGH SCHOOL53125,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,Enr,9,6,3
ARROYO VALLEY HIGH SCHOOL52948,ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,App,62,39,23
ARROYO VALLEY HIGH SCHOOL52948,ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,Adm,6,4,
ARTESIA HIGH SCHOOL50155,ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,App,39,21,18
ARTESIA HIGH SCHOOL50155,ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,Adm,6,,4
ARVIN HIGH SCHOOL50160,ARVIN HIGH SCHOOL,Arvin,Kern,App,49,36,13
ARVIN HIGH SCHOOL50160,ARVIN HIGH SCHOOL,Arvin,Kern,Adm,6,,5
ASPIRE OLLIN UNIV PREP ACDMY54735,ASPIRE OLLIN UNIV PREP ACDMY,Huntington Park,Los Angeles,App,19,12,7
ASPIRE OLLIN UNIV PREP ACDMY54735,ASPIRE OLLIN UNIV PREP ACDMY,Huntington Park,Los Angeles,Adm,4,,3
ASPIRE PACIFIC ACADEMY51214,ASPIRE PACIFIC ACADEMY,Huntington Park,Los Angeles,App,19,13,6
ASPIRE PACIFIC ACADEMY51214,ASPIRE PACIFIC ACADEMY,Huntington Park,Los Angeles,Adm,3,,
ATASCADERO HIGH SCHOOL50165,ATASCADERO HIGH SCHOOL,Atascadero,San Luis Obispo,App,10,8,
ATWATER HIGH SCHOOL50172,ATWATER HIGH SCHOOL,Atwater,Merced,App,11,9,
AZUSA HIGH SCHOOL50188,AZUSA HIGH SCHOOL,Azusa,Los Angeles,App,39,24,15
AZUSA HIGH SCHOOL50188,AZUSA HIGH SCHOOL,Azusa,Los Angeles,Adm,9,4,5
BALBOA HIGH SCHOOL52916,BALBOA HIGH SCHOOL,San Francisco,San Francisco,App,86,44,42
BALBOA HIGH SCHOOL52916,BALBOA HIGH SCHOOL,San Francisco,San Francisco,Adm,28,13,15
BALBOA HIGH SCHOOL52916,BALBOA HIGH SCHOOL,San Francisco,San Francisco,Enr,14,6,8
BALDWIN PARK HIGH SCHOOL50225,BALDWIN PARK HIGH SCHOOL,Baldwin Park,Los Angeles,App,55,33,22
BALDWIN PARK HIGH SCHOOL50225,BALDWIN PARK HIGH SCHOOL,Baldwin Park,Los Angeles,Adm,8,7,
BALDWIN PARK HIGH SCHOOL50225,BALDWIN PARK HIGH SCHOOL,Baldwin Park,Los Angeles,Enr,4,3,
BASSETT HIGH SCHOOL50238,BASSETT HIGH SCHOOL,La Puente,Los Angeles,App,28,19,9
BASSETT HIGH SCHOOL50238,BASSETT HIGH SCHOOL,La Puente,Los Angeles,Adm,6,6,
