Calculation1,School,City,County/State/Country,App GPA,Adm GPA,Enrl GPA
FRANKFURT INTERNATIONAL SCHOOL734775,FRANKFURT INTERNATIONAL SCHOOL,n/a ,GERMANY,4.13,,
FRENCH INTERNATIONAL SCHOOL670100,FRENCH INTERNATIONAL SCHOOL,n/a ,HONG KONG,3.65,,
FUNDACAO ANGLO BRASILEIRA910700,FUNDACAO ANGLO BRASILEIRA,n/a ,BRAZIL,3.91,3.92,
FUZHOU NO 3 HIGH SCHOOL694266,FUZHOU NO 3 HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.93,3.94,
FUZHOU NO 8 HIGH SCHOOL694606,FUZHOU NO 8 HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.69,,
GANDHI MEMORIAL INTNL SCHOOL672189,GANDHI MEMORIAL INTNL SCHOOL,n/a ,INDONESIA,3.98,,
GEMS WORLD ACADEMY697067,GEMS WORLD ACADEMY,n/a ,UNITED ARAB EMIRATES,3.91,,
GERMANY990022,GERMANY,n/a ,GERMANY,3.5,3.7,
GHANA990023,GHANA,n/a ,,3.19,,
GLENEAGLE SECONDARY SCHOOL821091,GLENEAGLE SECONDARY SCHOOL,n/a ,CANADA,3.96,,
GLENLYON-NORFOLK SCHOOL821660,GLENLYON-NORFOLK SCHOOL,n/a ,CANADA,3.78,,
GLOBAL INDIAN INTRNTL SCHOOL687202,GLOBAL INDIAN INTRNTL SCHOOL,n/a ,SINGAPORE,3.98,3.94,
GLOBAL JAYA INTERNATIONL SCHOL672111,GLOBAL JAYA INTERNATIONL SCHOL,n/a ,INDONESIA,3.73,,
GLOBAL VISION CHRISTIAN SCHOOL682000,GLOBAL VISION CHRISTIAN SCHOOL,n/a ,"KOREA, REPUBLIC OF (SOUTH)",3.96,4.01,
GOLDCREST INTERNATIONAL671814,GOLDCREST INTERNATIONAL,n/a ,INDIA,3.52,,
